"","201141_at","204146_at","216228_s_at","209074_s_at","216307_at","209955_s_at","205543_at","202580_x_at","219918_s_at","219301_s_at","205240_at","202095_s_at","204416_x_at","202351_at","204444_at","205680_at","204641_at","207521_s_at","218413_s_at","219978_s_at","218585_s_at","211668_s_at","204285_s_at","213008_at","218726_at","220651_s_at","206998_x_at","221226_s_at","219523_s_at","219148_at","211568_at","213194_at","205476_at","213668_s_at","216918_s_at","201291_s_at","204822_at","221171_at","205881_at","219692_at","221210_s_at","204775_at","216952_s_at","210405_x_at","207647_at","214121_x_at","204709_s_at","202503_s_at","203213_at","204825_at"
"GSM342162",9.70488406523153,4.40577457794988,2.55074555428295,4.97626739174791,3.55012494600501,5.61497774831818,5.82404479726093,4.61757472214783,5.70491621822672,3.50095498082165,2.21115240541234,5.63293705209052,7.8340032438822,8.08314953077288,5.35271615866757,5.69091429822182,5.50917009343347,6.84453630251358,4.81442737386125,5.06027657061201,6.52278708349087,6.46598752050871,6.84515129147015,4.61485705038449,5.40604679997097,4.60410098403504,5.77126495944037,3.45747609790731,4.50724282272992,5.17945929703771,0.982013349610109,8.45234009409178,9.02202096964636,2.8400603308324,4.29986006077427,4.89883715695538,4.9782642842207,5.0740857881034,4.34268984958964,5.02338843611027,6.61715593442506,0.966386166880775,6.91160770181529,5.99873257685777,3.11537289569915,1.25401951109281,2.80632818231634,7.62057174884241,7.11933542466026,6.25906906399645
"GSM342163",10.964672981574,6.40343134576812,4.31859161422237,0.270074384464799,3.71376179024214,7.07325255305355,5.97842904178583,7.54396752800724,7.64627788378955,3.9710100605029,5.19184291941432,7.44441860191316,9.26976487791515,9.28861464736707,7.16386097071377,4.60062657655569,6.6118422158742,2.06597549299537,4.5830617006158,6.82628153223388,8.30192139583179,8.32042600867058,8.33518487884892,6.81714995544512,7.33041498385285,6.457806031802,2.09159490704553,2.90211410930445,2.83331921536558,7.52971945467136,-1.13015069821113,6.90782804274777,10.258683800107,7.29076535215599,7.29667764934418,7.66625951485942,7.07015315312285,4.20275465065212,5.67413858547099,6.69272010418934,8.50324536376399,5.3762313349992,7.49920809085669,6.50446626366529,3.38711434947015,4.04261807451701,5.81759256154571,9.55468860905591,8.05827319677058,7.07975143109509
"GSM342164",8.79982232842567,4.71649162456917,3.34562346417513,2.52678246861016,3.497535726396,5.74118651000956,5.44026456209631,6.073905901475,6.14515366997532,3.5107087926795,4.15245116100524,5.84940384982957,7.88523268435744,8.67358468968192,5.6659043549549,7.46615397421184,6.33441095498087,1.19169529169528,4.15501248013186,6.45477634267884,7.71602374520151,7.24912293629827,8.75183859320636,6.44245422319487,6.54566880585982,5.66663162863474,2.84555628794395,2.39720878862512,4.03359919780549,6.32597278613231,-0.866036730836619,9.37737540040083,11.5378493202846,4.66443163971101,3.51687243824287,5.56402446370356,5.50563373625514,4.19733859200439,5.43859559944394,5.90637594259202,8.83383884355829,4.65147080139267,7.57295028458583,6.86704393511453,2.92788318314836,4.13752811493309,4.66328199115019,9.7283014934956,7.54314011501405,7.41185837935092
"GSM342165",12.2834154117349,8.75836314602743,3.99629834918948,2.14596759519076,0.642775495065493,5.40398684519485,7.29953773957278,8.6095370583498,7.53291691839351,5.36431328418471,5.94290620837356,7.06976660190387,6.4776336186827,8.25476881410434,6.42775532847582,6.08889421793101,6.85872702377863,1.48288957607439,2.97416951160606,6.9694037904065,8.14374543676447,6.98555735370211,8.45617778967261,6.94037820494285,7.34145210748113,6.38648506195982,3.60879741725787,3.26184820332517,5.35201340153113,7.6792126483187,1.38049673698746,9.46553375504723,11.1885703019501,6.1642995599563,8.73882186931048,7.08578579471501,6.75858301065338,4.90829413583616,4.33666186711149,6.6341837497799,4.58391616747486,6.09133170955424,8.27043550055673,7.10068336173058,4.05444043694559,4.09525775775633,4.59367048367536,9.59434513372114,7.7847591540603,6.93634348139549
"GSM342166",10.3072577415234,5.08341337405103,2.87344706557683,2.83719647919432,1.9124046050535,5.56108169473173,5.59902910677424,5.31415994632115,6.74096802427176,5.69775714218874,4.62910594825594,5.40904125237617,7.91399039267484,9.63940764091339,5.45667475025585,5.83273814353553,5.15915283700478,5.21471544317829,1.89197127175249,5.83815761246437,6.23566962656745,6.12316954315582,6.77885249296351,5.21436963853051,5.74340994499017,5.33934764382503,1.69658590900112,2.14576222122753,4.6461914646786,5.51435900688911,0.594357451458693,7.99059754497452,7.35371143966409,4.39000038108919,6.88896237580665,5.04270999254564,5.2759084502414,2.34452174969556,4.80066180324495,7.0363714543074,6.97164701044336,4.67977283133513,6.84883573007817,5.02689741584675,3.22013489923156,3.38266725274504,4.05084992217468,8.28937340766795,6.05778599547788,6.5453413769443
"GSM342167",10.1695492506807,5.53351662805904,4.07409435357387,1.39277351710819,2.53469164757035,5.35468135428571,5.95516863834393,5.15507726467284,6.34766388481776,5.31329665001439,2.27203812371502,5.55419896438157,7.84505717749784,9.52824506600712,5.89021562894979,6.21795769786411,5.77908896158245,2.89496517738723,3.80310301720415,5.47895886600594,6.82005128463813,6.16116212256344,7.38680232613671,5.04711518500988,5.61094804831746,4.51412857392075,2.56557280579973,3.38947044532597,4.68374136240261,5.78906147224925,-1.11373861567123,8.69325694430286,8.87928916714917,5.34902905310401,7.26063731632224,5.0185674141245,4.65157412492786,4.65109188510772,4.38188552354413,5.66682190927613,7.34418048769568,3.77961693493169,6.37446919339681,6.23650601203967,0.845253178609523,3.60605129720385,3.58457773073864,8.44850868162094,6.97341611738312,5.76304501112394
"GSM342168",10.0990847608919,5.98435921166782,1.43987841215823,2.90301126754661,4.07810596471269,5.42676457871687,6.46587654070294,3.72371145064975,5.91026975496176,4.64024493622235,5.76646265242577,6.49735369192445,7.73902447320284,7.8095816513392,6.08142911131385,7.36259262131861,6.13103173966909,4.42536530630776,1.46082118263062,5.29594337864383,6.56688667825785,8.1893304006149,8.34612807649783,5.78636634869434,5.271489173597,5.80275932487944,2.35844690168946,2.41420861324623,2.90150410902385,6.60588985921368,1.04308548251633,8.37545653587666,10.2164669910271,5.40633597959804,7.24400222402437,4.48217710601943,5.70719897713935,3.52571811400169,3.42798154644492,7.57750435983027,6.80276190933778,4.23116356777884,6.57270174212147,5.27213146179979,3.77983752327645,4.05724230115271,4.16385292195891,8.73467236705602,6.50147576940254,6.17331135737678
"GSM342169",10.4378248813392,6.11199111995175,3.3723113767771,1.31235731930882,4.28591262065711,7.71849177793965,6.28979389802881,7.10454633862346,6.45838036353572,5.98494473998205,2.38191735442077,8.56863259586781,7.7069656161333,9.26999156922471,6.38104971175157,8.28118820990487,6.66129355585531,1.58617385585754,2.45105281889276,6.63675800929538,6.83245967251946,8.43046509678526,9.99850581171892,6.06127073384076,6.04598457870533,6.0657187794074,3.32275019678388,2.35340798701574,5.13676969393273,7.14185169044802,0.511265612582551,8.56695211222889,10.4105149516469,5.67422617196369,7.20032974991352,5.28802996833076,6.86668547545886,4.58702888305927,4.50940448691463,8.45524090263447,8.12657542458147,5.84699218054394,8.05372500313844,6.51661719521434,4.05365876142812,0.974074039167087,4.57167680997093,10.2273632390828,8.83942112097909,6.56103585729761
"GSM342170",9.58099904256206,7.66951580386926,3.91420093383845,1.33113765628785,3.62151272201967,6.53826344188294,6.68123841177781,7.22630621463629,7.43343521779391,6.93168305705981,5.37517152749576,7.92853021878067,7.53715626428625,9.49282658696614,7.12421438592624,8.26072669112,7.52482376225805,1.18296555748031,2.56536076895386,5.74321603617604,8.15603755670864,9.18897450182824,8.4872129883092,6.83785496239568,6.36606163124568,6.3570328928978,2.53382993561933,3.22449104598879,5.29174351859109,8.02054109292336,-0.346184199519837,9.89807378903747,11.3408125915706,7.18522234121896,8.72012452758988,6.6297456581015,7.24706353605138,5.38243554533817,5.03470873974217,8.20097705021465,8.30048984436311,3.84834751899219,7.61757031448904,6.75656966530669,3.25556720133636,2.22800285626856,5.29873528656977,10.0717036854088,8.73581661625322,6.82128928255525
"GSM342171",10.4173567669497,5.96242177512541,3.72187571029096,2.56958344481732,3.54131658536652,5.56616061856433,7.42742180173738,5.70776220203922,6.11747479879366,5.86877811599735,2.38515213521432,4.99051472591091,9.56677140072885,8.10734263560692,6.21347949031532,8.22905431144404,5.77492407618519,3.1579572355429,4.3207662576772,5.76501485816423,6.08184023962715,8.70544923121553,8.12604878801552,5.20677995473968,5.71465491016668,5.40696857053969,3.27571629755336,2.58865347900536,4.83254575111846,5.75970180227358,1.23190544638316,9.51284513092601,9.84698215481384,2.56607718201144,6.07121563524521,5.09910580661787,5.77002556355428,4.8886604589593,4.77448663154701,6.67702895563211,7.37080072583421,4.14229906340486,6.98563704268517,5.04617671330513,2.13432938428691,4.07925009345666,2.74318102208449,8.16710699195817,6.60730811827055,7.11579277244756
